,UniProt,Protein,Infected_8h_1,Infected_8h_2,Infected_8h_3,Infected_8h_4,Infected_8h_5,Mock_8h_1,Mock_8h_2,Mock_8h_3,Mock_8h_4,Mock_8h_5,Infected_16h_1,Infected_16h_2,Infected_16h_3,Infected_16h_4,Infected_16h_5,Mock_16h_1,Mock_16h_2,Mock_16h_3,Mock_16h_4,Mock_16h_5,Infected_24h_1,Infected_24h_2,Infected_24h_3,Infected_24h_4,Infected_24h_5,Mock_24h_1,Mock_24h_2,Mock_24h_3,Mock_24h_4,Mock_24h_5,id,Total missingness,Mock_8h missingness,Mock_16h missingness,Mock_24h missingness,Infected_8h missingness,Infected_16h missingness,Infected_24h missingness,missing_check,Infected_8h/Mock_8h,Infected_8h/Mock_8h_pval,Infected_8h/Mock_8h_adj-p,Infected_16h/Mock_16h,Infected_16h/Mock_16h_pval,Infected_16h/Mock_16h_adj-p,Infected_24h/Mock_24h,Infected_24h/Mock_24h_pval,Infected_24h/Mock_24h_adj-p,Infected_16h/Infected_8h,Infected_16h/Infected_8h_pval,Infected_16h/Infected_8h_adj-p,Infected_24h/Infected_8h,Infected_24h/Infected_8h_pval,Infected_24h/Infected_8h_adj-p,Infected_24h/Infected_16h,Infected_24h/Infected_16h_pval,Infected_24h/Infected_16h_adj-p,Type,Experiment,Residue,Site
TMA7B_HUMAN,TMA7B_HUMAN,TMA7B_HUMAN,26.640681753570902,26.990304488872233,,26.406000406962395,,,,,,,25.593635871706635,26.200329173053976,,25.80985034795602,25.859395412307975,25.936974178766288,,25.44301939194754,25.967869050734723,,26.11050221426323,26.391987653324556,,26.992486890590655,,25.78944429406582,26.074668313437854,25.954803528751683,26.35291215077237,26.168608194282395,TMA7B_HUMAN,12,5,2,0,2,1,2,1,,,,0.08318182743996516,0.70262742566694,0.8699873515207907,0.4302382897974546,0.10878523270264633,0.3137233655618594,-0.8131928485456932,0.010778750331302284,0.06888559659520156,-0.1806699637423641,0.5919822437401385,0.8652305449467449,0.6325228848033291,0.06157468300954229,0.15527793824287545,Global,LiP,GLB,TMA7B_HUMAN@GLB
GAL3B_HUMAN,GAL3B_HUMAN,GAL3B_HUMAN,,,26.021068025089185,26.164215131097986,,,25.406181208738094,25.629048608246492,,,25.575019006667954,,25.603832704622615,26.141616871349704,26.07405354494233,,,25.50022938833769,25.84070336152675,25.40107677539426,26.038157909642173,25.919287948044026,,25.887673063583506,25.85721991030124,25.275161922970675,25.53208537511304,25.530257020176208,25.561289591940945,25.6057036643409,GAL3B_HUMAN,10,3,2,0,3,1,1,0,0.5750266696012929,0.04916745288730802,0.4998045801379106,0.26796069014275403,0.2578966468888786,0.5714626140313037,0.4246851929843807,0.0007327094412466459,0.0187427075070892,-0.244011046197933,0.348201655932068,0.546503884968702,-0.1670568702008488,0.08641109348227284,0.47784443022374734,0.0769541759970842,0.6383410507103218,0.7530163214267785,Global,LiP,GLB,GAL3B_HUMAN@GLB
UBA6_HUMAN,UBA6_HUMAN,UBA6_HUMAN,26.091977612311418,26.354125986214033,26.211626161325007,26.06346227879616,26.39907285041464,26.20419884872749,26.094094340883498,26.14440869972695,26.018631017413334,25.842293641545524,26.468577515072276,26.43568974881667,26.532807659711157,26.538296081329563,26.35600472036152,26.451617800790185,26.205680190181745,26.52856187477361,26.360933870995552,26.559763863198818,25.921344389323437,26.178289138498986,26.093226624575347,26.165980258993585,26.074289234465166,26.49086840349486,26.22145813057565,26.376839770662976,26.333898851991613,26.327656013165303,UBA6_HUMAN,0,0,0,0,0,0,0,0,0.163327668152899,0.1136210924337951,0.58145552144209,0.044963625070256086,0.5511278783461951,0.780773927087916,-0.2635183048067731,0.0031433087551854624,0.04322894513851835,0.2422221672459841,0.01236454243017943,0.07285131551390776,-0.13742704864095145,0.1306216827000817,0.5716947407183534,-0.37964921588693556,0.00015861788782547105,0.005017424459021322,Global,LiP,GLB,UBA6_HUMAN@GLB
SPD2B_HUMAN,SPD2B_HUMAN,SPD2B_HUMAN,26.267199823868516,25.948067001349443,26.176032668396495,26.152618304169096,25.788425448804194,26.002863387884844,26.184354483919982,26.178927682369626,26.012836486879777,26.199745210538225,26.04143241753566,,25.40836368548249,25.552857845841096,25.55287623460934,26.091444194661218,25.992759310047898,26.115373196248186,25.706786193580566,25.362893676901756,25.399012200811423,25.687218979554245,26.01482546094317,25.88545274855456,25.54054324904114,25.923122737456428,25.78828677766017,25.747461317632474,25.89194731276519,25.801709537113155,SPD2B_HUMAN,1,0,0,0,0,1,0,0,-0.04927680100094278,0.6269109131939133,0.8887040236126843,-0.2149687684207784,0.3232928763371352,0.635219987490543,-0.12509500874457657,0.31420758069669175,0.5665733967633247,-0.4275861034504018,0.029252266903288984,0.11957693431029567,-0.36105812153664374,0.034111814512744566,0.32493310861380537,0.06652798191375808,0.7159833316440634,0.8097733329029437,Global,LiP,GLB,SPD2B_HUMAN@GLB
CNOT1_HUMAN,CNOT1_HUMAN,CNOT1_HUMAN,24.898863344353607,24.83970158738932,25.044782680473098,24.989727170663336,24.524969506379666,24.94604600954757,24.87390677500427,24.964698583105093,24.6304778204777,24.767180706999824,25.395668405126404,25.43032144788674,25.32988795158504,24.99586325240833,25.319119563587307,25.03908384698603,24.989197296903242,25.011108451568585,25.30722361446682,25.332589005636873,24.706821433111653,24.741563801620334,24.68694584684045,24.59331314419108,25.281876570478,25.04882601890448,25.094184567480923,25.03089451846737,25.054454665057474,24.761852828097382,CNOT1_HUMAN,0,0,0,0,0,0,0,0,0.02314687882491384,0.8386696710949153,0.9582691989046987,0.15833168100645167,0.18160065840402856,0.49384474697886216,-0.19593836035321388,0.18855152662533925,0.4334186159816115,0.43456326626695585,0.006577230317417172,0.0514482530199157,-0.05750469860349838,0.715861283092708,0.920500609374492,-0.49206796487045423,0.009393823441088432,0.047744729187030176,Global,LiP,GLB,CNOT1_HUMAN@GLB
MP3B2_HUMAN,MP3B2_HUMAN,MP3B2_HUMAN,27.316249374896568,27.11655892190333,27.38478828480651,27.460068112290664,27.142258638549286,27.22030750404325,27.085348304186113,27.25507300521494,27.631308219898468,27.496264819272273,26.488512348481684,26.551886171852907,26.741996870315166,27.106816053615564,27.326447771403053,27.17745624578712,27.26797017354281,27.242068529507264,27.341762615104553,27.4379015822599,,26.687313795819872,26.60443350442812,26.843002346121132,26.178363455216257,26.958790278141283,27.170261360109333,27.346990626754405,,27.477731989233288,MP3B2_HUMAN,2,0,0,1,0,0,1,0,-0.05367570403373634,0.6654232300776115,0.9047751040162496,-0.45029998610665345,0.027848462549445542,0.2012611589421136,-0.6601652881632312,0.010820838518583053,0.0893012546296559,-0.44085282335559484,0.03605756734770847,0.1364050016560285,-0.7057063910929244,0.0019127069482945981,0.08832571306324426,-0.2648535677373296,0.2716840816090125,0.42950681671206137,Global,LiP,GLB,MP3B2_HUMAN@GLB
PGP_HUMAN,PGP_HUMAN,PGP_HUMAN,24.94265449620164,24.875950705525437,25.2356748903481,24.302578554335238,24.686915849813893,25.555342617053423,24.921169013232724,25.27991190560723,24.604005853076256,24.7726470612418,24.85594144150443,25.18952845439186,25.122936446181203,25.132157676256075,25.41140990667148,24.537304804404314,,25.070305511597432,25.678650982361717,25.011808720220788,25.554975900420303,24.99004044799886,24.8853642739781,25.47253066801059,24.600519661583387,25.73634181959199,25.037054562937907,24.9350662363764,24.94764090984296,24.91015609441727,PGP_HUMAN,1,0,1,0,0,0,0,0,-0.21786039079742636,0.3745981190092277,0.7852667592458579,0.06787728035494922,0.775374344163707,0.9086982644789017,-0.012565734235057135,0.9594555472683493,0.9817149159649751,0.3336398857561491,0.09757171566940853,0.24814782623180562,0.29193129115338934,0.2541325846008476,0.6834243401630211,-0.041708594602759774,0.8410446033188748,0.8983504033628809,Global,LiP,GLB,PGP_HUMAN@GLB
RIMC1_HUMAN,RIMC1_HUMAN,RIMC1_HUMAN,,,,,,24.338290684855863,,24.523624006182867,,,,,,,,,24.892337517712146,,24.912665367218345,24.65486691429304,,,,,,,,,,,RIMC1_HUMAN,25,3,2,5,5,5,5,4,,,,,,,,,,,,,,,,,,,Global,LiP,GLB,RIMC1_HUMAN@GLB
SMHD1_HUMAN,SMHD1_HUMAN,SMHD1_HUMAN,24.452536183036937,24.895577317418063,24.886229634340737,24.717853323581114,25.026173308204896,24.933821917954567,24.890922267605184,25.17888900034352,25.038431573615046,24.810864427789372,25.1595217586853,25.26158931527199,25.426480195561698,25.29535040372419,25.181960445039007,25.139860930607433,25.21658500464782,25.135907158341837,25.212587193427844,25.001310999524964,24.42021670134294,24.89096295935399,24.50282133734669,24.94505256712791,24.322547296768583,24.888893017138262,24.452878611536924,25.095590862470438,24.87044695022837,24.637538933155792,SMHD1_HUMAN,0,0,0,0,0,0,0,0,-0.17491188414518533,0.175042540256246,0.6404589441911198,0.1237301663464585,0.078661612632386,0.3365916723878948,-0.17274950251793442,0.3351846829403311,0.5832669516743993,0.46930647034008643,0.002676937316998018,0.032211222269793054,-0.1793537809283272,0.29668056451351515,0.7211008838531366,-0.6486602512684136,0.00136604979420924,0.014868926606200575,Global,LiP,GLB,SMHD1_HUMAN@GLB
U119B_HUMAN,U119B_HUMAN,U119B_HUMAN,,24.16499867734094,,23.14450682712284,24.468673907687357,,,24.23361198392224,,,,,,,,24.673678567888427,,24.356893253573872,24.502021603717353,,24.36038309854635,24.066501912916586,24.49098058339211,24.320790613823284,,,,24.521129530924835,,24.474183823125323,U119B_HUMAN,17,4,2,3,2,5,1,2,-0.30755217987186256,0.7379774228138205,0.9290383743077936,,,,-0.18799262485549662,0.23336454224826303,0.48730326454780154,,,,0.3836042481192017,0.32449355028853405,0.7415766913396091,,,,Global,LiP,GLB,U119B_HUMAN@GLB
