,UniProt,Protein,Infected_8h_1,Infected_8h_2,Infected_8h_3,Infected_8h_4,Infected_8h_5,Mock_8h_1,Mock_8h_2,Mock_8h_3,Mock_8h_4,Mock_8h_5,Infected_16h_1,Infected_16h_2,Infected_16h_3,Infected_16h_4,Infected_16h_5,Mock_16h_1,Mock_16h_2,Mock_16h_3,Mock_16h_4,Mock_16h_5,Infected_24h_1,Infected_24h_2,Infected_24h_3,Infected_24h_4,Infected_24h_5,Mock_24h_1,Mock_24h_2,Mock_24h_3,Mock_24h_4,Mock_24h_5,id,Total missingness,Mock_8h missingness,Mock_16h missingness,Mock_24h missingness,Infected_8h missingness,Infected_16h missingness,Infected_24h missingness,missing_check,Infected_8h/Mock_8h,Infected_8h/Mock_8h_pval,Infected_8h/Mock_8h_adj-p,Infected_16h/Mock_16h,Infected_16h/Mock_16h_pval,Infected_16h/Mock_16h_adj-p,Infected_24h/Mock_24h,Infected_24h/Mock_24h_pval,Infected_24h/Mock_24h_adj-p,Infected_16h/Infected_8h,Infected_16h/Infected_8h_pval,Infected_16h/Infected_8h_adj-p,Infected_24h/Infected_8h,Infected_24h/Infected_8h_pval,Infected_24h/Infected_8h_adj-p,Infected_24h/Infected_16h,Infected_24h/Infected_16h_pval,Infected_24h/Infected_16h_adj-p,Type,Experiment,Residue,Site
RUXGL_HUMAN,RUXGL_HUMAN,RUXGL_HUMAN,,26.185405769038592,24.08543600808456,24.622829514089812,,,,24.687286273987045,,,25.33381295573367,,,24.82004198370591,,,,,,24.588110811184514,,,,,25.375576546726318,24.467403719831076,,,,,RUXGL_HUMAN,21,4,4,4,2,3,4,4,0.2772708230839456,0.8462060991826049,0.9595538638952508,0.4888166585352778,0.47010669494902413,0.7307282681067958,0.9081728268952425,,,0.11237037264880101,0.9015093332349013,0.9459672404813821,0.41101944965532766,0.7751811845311106,0.9345461212690204,0.29864907700652665,0.6236659598804544,0.7415108075851976,Global,LiP,GLB,RUXGL_HUMAN@GLB
WASH3_HUMAN,WASH3_HUMAN,WASH3_HUMAN,25.430104822703637,25.54598698074257,25.130668926689932,25.13546612284243,25.90829340419471,25.054705280623057,25.04863895753205,25.27624061633482,25.097561764225908,25.03508477994121,25.603544660520296,,25.619938686854873,25.421772056326304,25.530955952528323,25.537852485772525,25.364493854932398,25.40000495293908,25.802398529264295,25.723280506291577,25.35652796089883,25.05511175048044,25.05752073130007,25.235697812185197,25.467069062056055,25.663862584099782,25.465347245389886,25.418100387801474,25.35180437069256,25.23850016112297,WASH3_HUMAN,1,0,0,0,0,1,0,0,0.3276577717032474,0.06239675695091296,0.5134439840500323,-0.021553226782526025,0.8443137583467671,0.9391636896249976,-0.19313748643721595,0.11024730305666348,0.3158007391957858,0.11394878762279248,0.5211979843254653,0.6892829895903857,-0.1957185880505392,0.2722329769567695,0.7022274402787249,-0.3096673756733317,0.017732146739078542,0.06916351875104601,Global,LiP,GLB,WASH3_HUMAN@GLB
MCRI1_HUMAN,MCRI1_HUMAN,MCRI1_HUMAN,26.925106516267686,26.882057506001534,26.910762119951695,26.656835936983722,26.91107785649888,26.65349644256283,26.795969257753523,26.62228986382063,26.584772811096503,27.195877942622978,26.13167749223507,25.737758015067104,26.7077764994237,26.21647006617058,,26.72322660642899,25.954329230786367,26.0764223804963,26.56542144311995,26.68577837507551,26.498981105172167,26.165133629358028,26.910685363889325,26.35071054351742,27.517570087087922,25.623796201887025,26.66031876784104,26.860105883979177,27.03496394759581,26.523441581797258,MCRI1_HUMAN,1,0,0,0,0,1,0,0,0.08668672356941443,0.5011672258346931,0.8503606843454441,-0.20261508895730884,0.4490102070539409,0.713735738880245,0.14809086918490877,0.6779158706004933,0.8361180313385062,-0.6587474689165944,0.0090123662190723,0.06169152907397908,-0.16855184133573076,0.5128472875981334,0.8314837827504491,0.49019562758086366,0.17453039629190206,0.3165629313658489,Global,LiP,GLB,MCRI1_HUMAN@GLB
NACAM_HUMAN,NACAM_HUMAN,NACAM_HUMAN,30.50855746798951,30.34883995693561,30.5168012791282,30.228609105792405,30.198906405947426,30.43127123216658,30.67572386273615,30.691412578894955,30.33772360715004,30.197392888422876,30.188258126726648,30.159338040842947,29.76824143771042,29.73504831835475,30.02628502749196,30.113843238937026,30.102480790785492,29.91590728304214,30.141705176171463,29.751765752826252,29.931534597089666,29.886538948356808,29.488217062537437,30.025162544774286,30.22261560874525,30.130076472445822,30.02945855783774,30.02934700477195,29.84217608027498,30.11965873450327,NACAM_HUMAN,0,0,0,0,0,0,0,0,-0.10636199071549512,0.3905484299442086,0.797388051649456,-0.029706258127134788,0.8127751541234698,0.9237966719297273,-0.11932961766606454,0.388973087005287,0.6309404924283603,-0.3849086529332837,0.010889920385395118,0.06908630185091011,-0.44952909085793635,0.011498570412089518,0.21473181550336443,-0.06462043792465266,0.6851866763693267,0.7861128219426464,Global,LiP,GLB,NACAM_HUMAN@GLB
CK098_HUMAN,CK098_HUMAN,CK098_HUMAN,25.762363379893557,24.50037261357484,24.899661509223787,,25.322308190981953,24.894514036939803,25.268813172080574,,24.92515669720969,,,,,,,,,24.60919183356306,,24.274595612973908,26.13842410541711,24.624477871030074,25.052355026553016,,24.632394426232885,25.359835246852843,24.582466473537416,24.153294280912828,24.18877292278139,24.38486304082628,CK098_HUMAN,12,2,3,0,1,5,1,1,0.09168178800851479,0.7963534774876515,0.9458799747373313,,,,0.5780664643261204,0.19216750920167058,0.43614262160433626,,,,-0.009263566110266908,0.9841811890976291,0.9920916032108394,,,,Global,LiP,GLB,CK098_HUMAN@GLB
ASURF_HUMAN,ASURF_HUMAN,ASURF_HUMAN,24.497566007268865,24.67859512018117,,24.93933260794342,25.050796425987865,,25.338684069307376,,24.73299677278105,25.35535603400237,,,,23.83483245611285,,24.6414775673228,,,,,24.538649474785327,,,24.643341004566224,24.228961457784123,24.429037902691196,24.496572979149086,,,24.485337975546525,ASURF_HUMAN,15,2,4,2,1,4,2,2,-0.3507730850182682,0.18213957351140395,0.6442251764471849,-0.8066451112099493,,,1.0265829537559057e-06,0.9999938964985683,0.9999938964985683,-0.9567400842324822,0.04195773937463202,0.14956562728398035,-0.3212552279667733,0.13624505079490254,0.5744897185028544,0.6354848562657089,0.1251553769763816,0.2537983639799713,Global,LiP,GLB,ASURF_HUMAN@GLB
DNS2A_HUMAN,DNS2A_HUMAN,DNS2A_HUMAN,27.973887560361597,27.90750496326499,28.05764036901421,27.750515381959328,28.13426554336844,28.03100382358858,27.941761601422584,27.93553019438428,,28.0254154349549,27.99620754176314,,28.123189877867883,28.415910520513503,28.54647012231648,27.832932456502363,27.336213735532045,27.913921225105167,28.277550376993133,27.87474848546616,28.023710725011536,28.2066225148751,27.72604185946706,28.28489576945508,27.94348449213171,28.229514094825053,28.104911248705562,28.341512761069275,28.16410852195188,28.088354831859164,DNS2A_HUMAN,2,1,0,0,0,1,0,0,-0.01866499999387372,0.8177679216432713,0.955761828879965,0.42337125969547884,0.07635606358714958,0.33550708821099073,-0.14872921949408635,0.2103242341742497,0.4606244786110708,0.3056817520215418,0.057061998739305946,0.1774877460786907,0.07218830859438441,0.5604026104953188,0.850293350845138,-0.2334934434271574,0.1838495412138304,0.3274578891409972,Global,LiP,GLB,DNS2A_HUMAN@GLB
KIF2A_HUMAN,KIF2A_HUMAN,KIF2A_HUMAN,,24.940829816307932,25.011838012918155,24.896085890868562,25.10799082666643,25.01848323259524,25.688080949849954,25.05531217106898,25.510377868953242,25.544191896993887,25.185535437319533,24.215020426967016,25.287994618259088,24.64086138256002,25.24257945731568,24.628554120749836,24.99816458690971,24.977579917769102,25.23150966914207,25.001283510645813,,24.768006823594355,24.761247866768898,24.831514439998898,,24.4382735560831,24.728351501747838,24.569311168720294,24.70431099371562,24.600662224935427,KIF2A_HUMAN,3,0,0,0,1,0,2,0,-0.3741030872019877,0.052212202170960315,0.5134439840500323,-0.053020096559038166,0.8245666011872562,0.9278680098371137,0.17874115441358995,0.04600356075872069,0.19689077347146278,-0.07478787220600225,0.7662093485012125,0.8624482038685144,-0.2022630932362226,0.017299984899708767,0.24456317451118348,-0.12747522103022035,0.6659300856951567,0.7730863101565995,Global,LiP,GLB,KIF2A_HUMAN@GLB
DX39A_HUMAN,DX39A_HUMAN,DX39A_HUMAN,,,,,,,24.338280367639243,25.84311096369612,,,,,,,,,,25.267568870071628,,,,,26.262058519924576,,,,,,,,DX39A_HUMAN,26,3,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,Global,LiP,GLB,DX39A_HUMAN@GLB
PDLI1_HUMAN,PDLI1_HUMAN,PDLI1_HUMAN,30.69492558196141,30.39469193629188,30.787236958899697,30.360821341635237,30.241786449449602,30.762609973498137,31.06507185326996,30.984885901759103,30.379178344527833,30.75788184237012,30.283828273047515,29.991887680548782,30.351980888072294,30.226959034222315,30.330415237278338,30.742805715218946,30.416108635973107,30.410053906264366,30.750455718110768,30.572703490921963,30.477012468244652,30.40314645871105,30.936887003733617,30.387916612827944,30.502578083261042,30.199878292424607,30.759009008683655,30.77369349416137,30.5846522561402,30.826732483354128,PDLI1_HUMAN,0,0,0,0,0,0,0,0,-0.29403312943746585,0.10048797173977317,0.5567809936311037,-0.34141127066397914,0.008672684727244659,0.10692059847558978,-0.08728498159712572,0.583852148055291,0.7730299144541586,-0.2588782310137141,0.06817314191059365,0.1969873311351201,0.04561567170810221,0.761607709485639,0.9339877219762667,0.3044939027218163,0.03510122399864115,0.10719762293110194,Global,LiP,GLB,PDLI1_HUMAN@GLB
BACH_HUMAN,BACH_HUMAN,BACH_HUMAN,27.77586385005094,28.17111741286535,27.324664978452972,28.189938925489603,27.99669609328236,28.36661644354246,28.05621909770253,28.103956225151407,27.933086860696026,27.79202906430019,28.574966902054065,28.49372978162125,28.352235192471017,28.43009932507045,27.920565285148058,28.38059874737264,27.828973906218398,28.241271159356046,28.620458124003232,28.37418265022038,28.183408962069166,27.872266934575844,27.875031700873617,28.031433128314475,27.790100260202124,28.275796174822023,27.89888044556503,28.14098310421037,28.197887676725227,27.99619876465603,BACH_HUMAN,0,0,0,0,0,0,0,0,-0.1587252862502737,0.4197149525589281,0.8070089201744245,0.06522237983882562,0.71660923901515,0.8793130962301645,-0.1515010359886908,0.16035146987635468,0.39784583893667824,0.4626630452447209,0.046657347137057076,0.15930427849920317,0.058791945178800376,0.7453141994256005,0.9315845886960411,-0.40387110006592053,0.016844008809601674,0.0678790052415658,Global,LiP,GLB,BACH_HUMAN@GLB
MYO1C_HUMAN,MYO1C_HUMAN,MYO1C_HUMAN,26.479082619292583,26.995609369716426,27.075419391711655,27.46990403627435,26.631789284249486,25.968331315151058,26.298676677902332,26.340637839526867,26.00640095528327,26.52188871217344,27.213566595315722,27.473796748245018,27.552479310122784,27.2133733723906,27.190065812695288,26.333968621896894,26.337227714833993,26.26512828045251,26.71723851396771,26.494379627436626,26.941928395752978,26.95098979166751,26.92473724419822,26.87201994898779,27.233144218162685,26.530162200720177,26.528039072031078,26.745286210794614,26.5880534028242,26.072338458768332,MYO1C_HUMAN,0,0,0,0,0,0,0,0,0.7031738402415115,0.008666842702527329,0.39144169681578034,0.8990678160363359,4.120798765037833e-05,0.0069092059293801,0.4917880507261607,0.00516292338222833,0.056925681085086506,0.3982954275049799,0.06997973995085387,0.2004000821162441,0.05420297950493591,0.7778780983776483,0.9346821367872625,-0.344092448000044,0.008577417706987384,0.04548140153046051,Global,LiP,GLB,MYO1C_HUMAN@GLB
SNP23_HUMAN,SNP23_HUMAN,SNP23_HUMAN,,24.075393257709706,24.853012781065015,,,24.17607779436056,24.13204015150451,24.723016215124236,24.457801148139083,,,,,,,,,,,,,,,,,,,,,,SNP23_HUMAN,24,1,5,5,3,5,5,4,0.09196919210526744,0.7847678616856798,0.9449519726327638,,,,,,,,,,,,,,,,Global,LiP,GLB,SNP23_HUMAN@GLB
AIP_HUMAN,AIP_HUMAN,AIP_HUMAN,26.647185639069377,26.59617398416408,26.20042171856353,26.629939873401035,25.939222299838494,26.631006210061454,26.240013492471654,26.54208427872965,26.25740983290745,26.21844911423422,26.785388663870602,26.24260838978493,26.527994359256354,26.63725396555798,26.145000795843092,26.89612045592034,26.996726701252463,27.002276237775117,26.70715890782917,26.995175269978454,26.48254839250289,25.94177333853765,26.720220470804858,26.163126883013614,26.79271156753106,,26.67087560112461,26.78564703157536,26.825307762606183,26.730057076223247,AIP_HUMAN,1,0,0,1,0,0,0,0,0.02479611732641729,0.8853083333176394,0.9702317982284145,-0.4518422796885133,0.009298514772940088,0.11136078406640153,-0.33289573740433553,0.11748228818546796,0.32843682314582195,0.0650605318552877,0.7356670015659619,0.842499787762985,0.01748742747071219,0.9374320085204466,0.9729744570264467,-0.047573104384575515,0.8196942366253236,0.8846445850358894,Global,LiP,GLB,AIP_HUMAN@GLB
GTPB1_HUMAN,GTPB1_HUMAN,GTPB1_HUMAN,,24.731693376125378,24.39306613051073,,23.26436611224308,24.0801803365379,,24.602417843579328,,,,,24.78898863475713,24.730570316514406,,24.955769677264907,,24.701721487998224,24.83974460106876,24.66707279370451,23.68000632797097,23.940670373219895,23.92973954211944,23.734458932034933,,25.3607455491566,,25.182606807964223,24.857305752434666,24.352659258059322,GTPB1_HUMAN,11,3,1,1,2,3,1,0,-0.21159055043221642,0.7495793904515222,0.9336295157481093,-0.03129766437333359,0.7724374125082601,0.9086231250818994,-1.1171105480673944,0.0029022055466209787,0.04124356549031368,0.6300709360093713,0.3518815001928304,0.5500053632836697,-0.30848974579008726,0.4531693911931137,0.8096334357849345,-0.9385606817994585,0.0007677343163174511,0.010671613566851234,Global,LiP,GLB,GTPB1_HUMAN@GLB
STXB3_HUMAN,STXB3_HUMAN,STXB3_HUMAN,,,,,,,,,,,23.84984677535878,23.984355709981866,24.45932132167727,24.356678982383926,23.31150567483388,23.95951117190795,,,,23.531698274854918,23.005343018636445,,,,,,,24.497713714797314,23.37577673096782,,STXB3_HUMAN,20,5,3,3,5,0,4,3,,,,0.24673696946571155,0.5236911340692914,0.7649664539715426,-0.9314022042461225,0.5134540346095999,0.726743693920536,,,,,,,-0.9869986742106995,0.11984521080413811,0.24576952650413827,Global,LiP,GLB,STXB3_HUMAN@GLB
SMAP_HUMAN,SMAP_HUMAN,SMAP_HUMAN,26.511316753397537,26.80221799985777,25.93288084884112,25.998395386693446,26.86481924982625,26.44443987352408,26.704617144025903,26.80779909672909,26.586384144071253,26.829619050992726,26.381256768599666,25.788438658253554,26.273645966209273,26.364378793719354,26.416326711597105,26.142615402654148,25.671231443008335,26.06374392266225,25.885010293578162,26.094115641389198,26.544328611819143,26.7419771236667,26.662745145442834,26.418325829242608,27.255468697639113,25.959702994097196,26.191790311128102,26.435589779500827,26.16782926285093,26.143348464432016,SMAP_HUMAN,0,0,0,0,0,0,0,0,-0.2526458141453851,0.2605149827249488,0.7148243202931114,0.27346603901737154,0.09648438185038298,0.37625460097514735,0.5449169191602614,0.010012223661265914,0.08565641513551239,-0.1771166680474323,0.45941712496561615,0.6392789617317916,0.3026430338388515,0.2479480130158858,0.6768665514515606,0.4797597018862838,0.03187282085742527,0.09985249043525482,Global,LiP,GLB,SMAP_HUMAN@GLB
AP3B1_HUMAN,AP3B1_HUMAN,AP3B1_HUMAN,26.782968577440712,26.844285424861862,26.877990968860015,26.94502401358816,26.90554560783004,26.8340786733558,26.845553302910023,26.26892046114829,26.514440664026594,26.69749483769129,26.983366228230896,27.10364761230081,26.937853345989417,26.843575434459392,26.82065614663607,26.93092280711239,26.90829100593429,27.06722705209961,26.867022822828382,27.148927317989184,26.708443885309702,26.94626441180959,26.699263756430906,27.03003965731088,26.77474278909919,27.195346711942356,27.047163078935633,26.84849476190143,26.871007045435793,26.861550845102116,AP3B1_HUMAN,0,0,0,0,0,0,0,0,0.23906533068975833,0.0656276568955207,0.5134439840500323,-0.046658447669447156,0.5441796733093407,0.7783999524943219,-0.13296158867141017,0.20015593421235045,0.44677040114763733,0.06665683500716213,0.2839382908557054,0.48161474198663734,-0.03941201852410714,0.598948821148538,0.8695177330590729,-0.10606885353126927,0.2414875968392337,0.3981028538184649,Global,LiP,GLB,AP3B1_HUMAN@GLB
PSD11_HUMAN,PSD11_HUMAN,PSD11_HUMAN,27.826136301559174,28.021214148326457,27.85764023546084,28.08515931152443,27.941354535814877,27.99524754112826,27.831036297467026,28.112635395017122,27.93710767036163,27.72639179892599,28.48645193731089,28.56764347130385,28.516320201444433,28.172817971854613,27.821606587092123,28.093077504297163,27.933368267796258,27.93026994935166,28.23500521203246,28.40964834648558,27.868881264566195,27.907351967205514,27.76229785994679,27.837220639434435,28.079367647316506,27.996967628260094,27.91300389623535,27.91448357186376,27.806747284245194,27.87867825460748,PSD11_HUMAN,0,0,0,0,0,0,0,0,0.025817165957150223,0.761956129645297,0.9348370501180915,0.19269417780856202,0.2851559818201782,0.6006426250232397,-0.010952251348481212,0.8621460558618123,0.935668057231445,0.36666712726403006,0.03936574065477902,0.14413484756885517,-0.055277030843264185,0.46309809204108543,0.8154026147422233,-0.42194415810729424,0.02307737541528718,0.08107320714860199,Global,LiP,GLB,PSD11_HUMAN@GLB
PSD12_HUMAN,PSD12_HUMAN,PSD12_HUMAN,27.481200482407235,27.356360643009907,27.30232585646455,27.857798980124027,27.45952203490516,27.377465331581334,27.437954404034773,27.720799775948365,27.233067790393388,27.621963894915037,27.620761986510036,27.81695920563134,27.701118853012154,27.831746019623413,27.603676729020666,27.66540357027789,27.477659482812932,27.614418938727248,27.763339745747576,27.6979114569722,27.636969456087176,27.7085885209358,27.30123973091081,27.622336084333547,27.43662650346886,27.508229178050147,27.642180432817284,27.56801515633181,27.506056547773703,27.564091838805275,PSD12_HUMAN,0,0,0,0,0,0,0,0,0.013191360007596131,0.9219864734066245,0.9764434267169421,0.07110591985195569,0.3242067691925582,0.635358694115388,-0.016562571608403687,0.8390960931402689,0.9216006038011197,0.22341095937734323,0.07316456043710537,0.20561487763190905,0.049710459765059056,0.6962485150717307,0.9143121362896282,-0.17370049961228418,0.08623813052900745,0.19559084457469453,Global,LiP,GLB,PSD12_HUMAN@GLB
