table,sample,missing_count,missing_fraction,median
ptm_site,Mock_8h_1,7382,0.17488332425197223,19.527372755545745
ptm_site,Mock_8h_2,7413,0.17561772997559877,19.506106324775836
ptm_site,Infected_8h_1,7305,0.17305915519651277,19.46440438629393
ptm_site,Infected_8h_2,7302,0.17298808367487148,19.43276755845819
ptm_site,Mock_16h_1,7396,0.17521499135296487,19.484990329393316
ptm_site,Mock_16h_2,7401,0.17533344388903366,19.519529950660512
ptm_site,Infected_16h_1,7331,0.1736751083840705,19.40356929921002
ptm_site,Infected_16h_2,7320,0.17341451280471915,19.40041604552778
ptm_site,Mock_24h_1,7353,0.17419629954277321,19.507622922659642
ptm_site,Mock_24h_2,7313,0.17324867925422283,19.509668499870827
ptm_site,Infected_24h_1,7367,0.17452796664376585,19.452588981355543
ptm_site,Infected_24h_2,7316,0.17331975077586412,19.442960565478405
ptm_site,Mock_Total_8h_1,7451,0.17651796924972163,19.552769204894645
ptm_site,Infected_Total_8h_1,7298,0.17289332164601645,19.57414493113884
ptm_site,Mock_Total_24h_1,7345,0.17400677548506313,19.6607424860754
ptm_site,Infected_Total_24h_1,7307,0.17310653621094027,19.428934438329815
ptm_site,Mock_8h_3,5922,0.14029518371988345,19.534262811292407
ptm_site,Mock_8h_4,5908,0.1399635166188908,19.550108969395815
ptm_site,Infected_8h_3,5916,0.1401530406766009,19.48601283594196
ptm_site,Infected_8h_4,5824,0.137973514012935,19.486872026154252
ptm_site,Mock_16h_3,5869,0.13903958683755419,19.429781926389552
ptm_site,Mock_16h_4,5896,0.1396792305323257,19.49558712365969
ptm_site,Infected_16h_3,5803,0.13747601336144608,19.341244716728234
ptm_site,Infected_16h_4,5806,0.13754708488308734,19.375400204122418
ptm_site,Mock_24h_3,5828,0.13806827604179006,19.51239880140252
ptm_site,Mock_24h_4,5809,0.13761815640472863,19.506930733729554
ptm_site,Infected_24h_3,5818,0.13783137096965245,19.43650142926592
ptm_site,Infected_24h_4,5813,0.13771291843358366,19.41853981142983
ptm_site,Mock_Total_8h_2,5915,0.14012935016938713,19.532802071419383
ptm_site,Infected_Total_8h_2,5810,0.1376418469119424,19.56473622055894
ptm_site,Mock_Total_24h_2,5845,0.13847101466442396,19.658619673912145
ptm_site,Infected_Total_24h_2,5804,0.13749970386865984,19.433445193121592
global_prot,Mock_8h_1,134,0.023035929173113288,16.552638300869425
global_prot,Mock_8h_2,134,0.023035929173113288,16.564332569956953
global_prot,Infected_8h_1,133,0.02286401925391095,16.575036426079144
global_prot,Infected_8h_2,133,0.02286401925391095,16.56170910008319
global_prot,Mock_16h_1,133,0.02286401925391095,16.55004065916888
global_prot,Mock_16h_2,133,0.02286401925391095,16.530698565069855
global_prot,Infected_16h_1,132,0.022692109334708613,16.551094647187227
global_prot,Infected_16h_2,134,0.023035929173113288,16.557453830113666
global_prot,Mock_24h_1,133,0.02286401925391095,16.542166301643167
global_prot,Mock_24h_2,132,0.022692109334708613,16.556131172885536
global_prot,Infected_24h_1,133,0.02286401925391095,16.555889728945317
global_prot,Infected_24h_2,132,0.022692109334708613,16.54112341246573
global_prot,Mock_Total_8h_1,133,0.02286401925391095,16.562096552248228
global_prot,Infected_Total_8h_1,133,0.02286401925391095,16.5722385664342
global_prot,Mock_Total_24h_1,133,0.02286401925391095,16.560306151977784
global_prot,Infected_Total_24h_1,133,0.02286401925391095,16.5698135263561
global_prot,Mock_8h_3,148,0.02544266804194602,16.559627932231994
global_prot,Mock_8h_4,149,0.02561457796114836,16.5837635814323
global_prot,Infected_8h_3,149,0.02561457796114836,16.554369592127706
global_prot,Infected_8h_4,148,0.02544266804194602,16.5737225955667
global_prot,Mock_16h_3,149,0.02561457796114836,16.55003768845225
global_prot,Mock_16h_4,147,0.02527075812274368,16.570735643498132
global_prot,Infected_16h_3,148,0.02544266804194602,16.550276501750727
global_prot,Infected_16h_4,148,0.02544266804194602,16.561631872332118
global_prot,Mock_24h_3,148,0.02544266804194602,16.556105150726356
global_prot,Mock_24h_4,147,0.02527075812274368,16.58302856547499
global_prot,Infected_24h_3,147,0.02527075812274368,16.550333675037514
global_prot,Infected_24h_4,148,0.02544266804194602,16.58532888803184
global_prot,Mock_Total_8h_2,147,0.02527075812274368,16.56227156195368
global_prot,Infected_Total_8h_2,147,0.02527075812274368,16.590910800429015
global_prot,Mock_Total_24h_2,148,0.02544266804194602,16.56098301467118
global_prot,Infected_Total_24h_2,149,0.02561457796114836,16.558770718827176
